Ward_Name,Zone,surface_temp,urban_index,veg_index,water_index,health_score,city_rank
Halsoor,East,34.011624150599026,-0.0387101037354326,0.1131691574014002,-0.0766914150572644,100.0,1
Sampangiram Nagar,East,34.86153228372669,-0.0479104666124042,0.1777032819421504,-0.1400526267190525,91.07,2
Aramane Nagara,West,34.46694541807559,-0.0456628457478248,0.1875567155108471,-0.1534547505501551,90.14,3
Dodda Bommasandra,Yelahanka,34.831425777722586,-0.0384838858650288,0.1665737719309574,-0.1401829440184399,83.94,4
Pattabhiram Nagar,South,35.17468101109387,-0.0378749811859695,0.1501160727172729,-0.1259143678404393,82.46,5
Bilekhalli,Bommanahalli,34.74362563518706,-0.0277337003289822,0.127149042582627,-0.1102296154141536,80.72,6
Adugodi,South,35.754999513187606,-0.0428514949882935,0.182971851320043,-0.1506335289403456,80.07,7
Vasanth Nagar,East,35.05803076768587,-0.035033254853169,0.1661052369234839,-0.143958928063501,79.25,8
Shakambari Nagar,South,35.26673832021911,-0.0348434041013067,0.1488678136454834,-0.1298209360102209,78.59,9
Gangenahalli,East,35.1946078286002,-0.0352352163882697,0.1657744132357893,-0.145255078640832,77.81,10
Hanumanth Nagar,South,35.67016623731484,-0.0302831265870571,0.1297972259597024,-0.1096247462693215,76.59,11
Agaram,East,35.29125235806376,-0.0379615110710614,0.2054071711817455,-0.1802244106791214,75.48,12
Vishveshwara Puram,South,35.52703102468446,-0.0298818115290412,0.1434505400733151,-0.1242453160299531,75.36,13
Jayanagar,South,35.400842093667954,-0.032363842162205,0.1551863947148061,-0.1375313103414627,75.28,14
Jayamahal,East,35.17422940718874,-0.0292661756929572,0.1546184167274245,-0.1414081252047101,73.72,15
Jeevanbhima Nagar,East,35.285579141082074,-0.0287829332469576,0.1552831019547873,-0.141403683108173,72.95,16
Radhakrishna Temple Ward,East,35.13275903914712,-0.0274125877734247,0.1434250156100781,-0.1360835583786776,72.18,17
Kuvempu Nagar,Yelahanka,35.13255958895129,-0.0310104554082826,0.186541073117645,-0.1713834043242528,71.73,18
Hoysala Nagar,East,35.29748806850828,-0.0271332900359574,0.1495846336727345,-0.1390756698069317,71.47,19
New Tippasandara,East,35.09418923890393,-0.0245657904810475,0.1540038305923076,-0.1432372575374356,71.28,20
